Indicador,Entidad,Year,Numhab
Less than 14 years,Tamaulipas,1995,816580
Less than 14 years,Tlaxcala,1995,326851
Less than 14 years,Veracruz de Ignacio de la Llave,1995,2392119
Less than 14 years,Yucatan,1995,540776
Less than 14 years,Zacatecas,1995,505943
Between 15 and 59 years,Nacional,1995,52712083
Between 15 and 59 years,Aguascalientes,1995,486547
Between 15 and 59 years,Baja California,1995,1279839
Between 15 and 59 years,Baja California Sur,1995,226929
Between 15 and 59 years,Campeche,1995,362617
Between 15 and 59 years,Coahuila de Zaragoza,1995,1296496
Between 15 and 59 years,Colima,1995,284854
Between 15 and 59 years,Chiapas,1995,1904910
Between 15 and 59 years,Chihuahua,1995,1656288
Between 15 and 59 years,Distrito Federal,1995,5471252
Between 15 and 59 years,Durango,1995,795995
Between 15 and 59 years,Guanajuato,1995,2428303
Between 15 and 59 years,Guerrero,1995,1536939
Between 15 and 59 years,Hidalgo,1995,1176499
Between 15 and 59 years,Jalisco,1995,3418149
Between 15 and 59 years,Mexico,1995,7010357
Between 15 and 59 years,Michoacan de Ocampo,1995,2101004
Between 15 and 59 years,Morelos,1995,838595
Between 15 and 59 years,Nayarit,1995,501896
Between 15 and 59 years,Nuevo Leon,1995,2220772
Between 15 and 59 years,Oaxaca,1995,1699882
Between 15 and 59 years,Puebla,1995,2536647
Between 15 and 59 years,Queretaro,1995,704811
Between 15 and 59 years,Quintana Roo,1995,416129
Between 15 and 59 years,San Luis Potosi,1995,1197274
Between 15 and 59 years,Sinaloa,1995,1416346
Between 15 and 59 years,Sonora,1995,1248059
Between 15 and 59 years,Tabasco,1995,989465
Between 15 and 59 years,Tamaulipas,1995,1530316
Between 15 and 59 years,Tlaxcala,1995,496068
Between 15 and 59 years,Veracruz de Ignacio de la Llave,1995,3865617
Between 15 and 59 years,Yucatan,1995,890353
Between 15 and 59 years,Zacatecas,1995,722875
More than 60 years,Nacional,1995,5969643
More than 60 years,Aguascalientes,1995,50727
More than 60 years,Baja California,1995,116599
More than 60 years,Baja California Sur,1995,20572
More than 60 years,Campeche,1995,39289
More than 60 years,Coahuila de Zaragoza,1995,142427
More than 60 years,Colima,1995,33241
More than 60 years,Chiapas,1995,178407
More than 60 years,Chihuahua,1995,184298
More than 60 years,Distrito Federal,1995,651126
More than 60 years,Durango,1995,101143
More than 60 years,Guanajuato,1995,290233
More than 60 years,Guerrero,1995,192132
More than 60 years,Hidalgo,1995,143007
More than 60 years,Jalisco,1995,421848
More than 60 years,Mexico,1995,581322
More than 60 years,Michoacan de Ocampo,1995,288283
More than 60 years,Morelos,1995,101806
More than 60 years,Nayarit,1995,68056
More than 60 years,Nuevo Leon,1995,231431
More than 60 years,Oaxaca,1995,241417
More than 60 years,Puebla,1995,321811
More than 60 years,Queretaro,1995,68102
More than 60 years,Quintana Roo,1995,23937
More than 60 years,San Luis Potosi,1995,161396
More than 60 years,Sinaloa,1995,157421
More than 60 years,Sonora,1995,136157
More than 60 years,Tabasco,1995,89749
More than 60 years,Tamaulipas,1995,176353
More than 60 years,Tlaxcala,1995,60307
More than 60 years,Veracruz de Ignacio de la Llave,1995,468771
More than 60 years,Yucatan,1995,122802
More than 60 years,Zacatecas,1995,105473
Less than 14 years,Nacional,2000,32586973
Less than 14 years,Aguascalientes,2000,342044
Less than 14 years,Baja California,2000,755771
Less than 14 years,Baja California Sur,2000,134844
Less than 14 years,Campeche,2000,241760
Less than 14 years,Coahuila de Zaragoza,2000,745058
Less than 14 years,Colima,2000,167882
Less than 14 years,Chiapas,2000,1490713
Less than 14 years,Chihuahua,2000,983121
Less than 14 years,Distrito Federal,2000,2245014
Less than 14 years,Durango,2000,518324
Less than 14 years,Guanajuato,2000,1706947
Less than 14 years,Guerrero,2000,1197894
Less than 14 years,Hidalgo,2000,792766
Less than 14 years,Jalisco,2000,2132355
Less than 14 years,Mexico,2000,4176921
Less than 14 years,Michoacan de Ocampo,2000,1444108
Less than 14 years,Morelos,2000,500492
Less than 14 years,Nayarit,2000,315519
Less than 14 years,Nuevo Leon,2000,1137528
Less than 14 years,Oaxaca,2000,1298374
Less than 14 years,Puebla,2000,1803010
Less than 14 years,Queretaro,2000,502206
Less than 14 years,Quintana Roo,2000,301304
Less than 14 years,San Luis Potosi,2000,836935
Less than 14 years,Sinaloa,2000,856371
Less than 14 years,Sonora,2000,719168
Less than 14 years,Tabasco,2000,671256
Less than 14 years,Tamaulipas,2000,861175
Less than 14 years,Tlaxcala,2000,335275
